Source,Page,Position,Item No.,Item Name,Unit Price,Set Up Dimension,Weight Stack,N.W.,G.W.,Volume,Photo File,Image,Image Source,Source URL,Catalog Page
Price_List,1,1,M7Pro-1001,Seated Chest Press,"US$1,505",1621*1506*1801mm,293lbs/132.75kg,175kg,215kg,2.4,photos/Price_List_M7Pro-1001_p1.png,images/M7Pro-1001 - Seated Chest Press/01 - Seated Chest Press.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,35
Price_List,1,2,M7Pro-1002,Seated Lateral Raise,"US$1,441",1318*1112*1450mm,174lbs/78.75kg,182kg,222kg,1.2,photos/Price_List_M7Pro-1002_p1.png,images/M7Pro-1002 - Seated Lateral Raise/01 - Seated Lateral Raise.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,35
Price_List,1,3,M7Pro-1003,Shoulder Press,"US$1,478",1697*1428*1450mm,218lbs/99kg,175kg,215kg,1.7,photos/Price_List_M7Pro-1003_p1.png,images/M7Pro-1003 - Shoulder Press/01 - Shoulder Press.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,35
Price_List,1,4,M7Pro-1004,Abdominal Crunch,"US$1,399",1307*1180*1628mm,218lbs/99kg,163kg,203kg,1.6,photos/Price_List_M7Pro-1004_p1.png,images/M7Pro-1004 - Abdominal Crunch/01 - Abdominal Crunch.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,36
Price_List,1,5,M7Pro-1005,Seated Biceps Curl,"US$1,595",1410*1235*1450mm,174lbs/78.75kg,182kg,222kg,1.7,photos/Price_List_M7Pro-1005_p1.png,images/M7Pro-1005 - Seated Biceps Curl/01 - Seated Biceps Curl.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,36
Price_List,1,6,M7Pro-1006,Seated Triceps Extension,"US$1,586",1685*1098*1450mm,263lbs/119.25kg,182kg,222kg,1.7,photos/Price_List_M7Pro-1006_p1.png,images/M7Pro-1006 - Seated Triceps Extension/01 - Seated Triceps Extension.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,36
Price_List,1,7,M7Pro-1007,Pectoral Machine,"US$1,420",2055*1345*1630mm,263lbs/119.25kg,159kg,199kg,1.4,photos/Price_List_M7Pro-1007_p1.png,images/M7Pro-1007 - Pectoral Machine/01 - Pectoral Machine.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,37
Price_List,1,8,M7Pro-1008,Lat Pull Down,"US$1,470",1852*1170*1930mm,263lbs/119.25kg,195kg,235kg,1.8,photos/Price_List_M7Pro-1008_p1.png,images/M7Pro-1008 - Lat Pull Down/01 - Lat Pull Down.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,37
Price_List,2,9,M7Pro-1009,Seated Row/Rear Delt,"US$1,362",1485*966*1450mm,263lbs/119.25kg,159kg,199kg,1.5,photos/Price_List_M7Pro-1009_p2.png,images/M7Pro-1009 - Seated Row_Rear Delt/01 - Seated Row_Rear Delt.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,37
Price_List,2,10,M7Pro-1010,Assistan Chin/Dip,"US$1,516",1931*1266*2286mm,263lbs/119.25kg,247kg,287kg,1.7,photos/Price_List_M7Pro-1010_p2.png,images/M7Pro-1010 - Assistan Chin_Dip/01 - Assistan Chin_Dip.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,38
Price_List,2,11,M7Pro-1011,Pec Fly/Rear Delt,"US$1,441",1476*1380*1975mm,218lbs/99kg,172kg,212kg,2.3,photos/Price_List_M7Pro-1011_p2.png,images/M7Pro-1011 - Pec Fly_Rear Delt/01 - Pec Fly_Rear Delt.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,38
Price_List,2,12,M7Pro-1012,Back Extension,"US$1,468",1622*1200*1450mm,293lbs/132.75kg,155kg,195kg,1.3,photos/Price_List_M7Pro-1012_p2.png,images/M7Pro-1012 - Back Extension/01 - Back Extension.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,38
Price_List,2,13,M7Pro-2001,Hip Abductor,"US$1,404",1400*1122*1450mm,218lbs/99kg,175kg,215kg,2,photos/Price_List_M7Pro-2001_p2.png,images/M7Pro-2001 - Hip Abductor/01 - Hip Abductor.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,39
Price_List,2,14,M7Pro-2002,Hip Adductor,"US$1,404",1455*1268*1450mm,218lbs/99kg,175kg,215kg,2,photos/Price_List_M7Pro-2002_p2.png,images/M7Pro-2002 - Hip Adductor/01 - Hip Adductor.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,39
Price_List,2,15,M7Pro-2003,Leg Extension,"US$1,510",1250*1173*1630mm,293lbs/132.75kg,177kg,217kg,1.3,photos/Price_List_M7Pro-2003_p2.png,images/M7Pro-2003 - Leg Extension/01 - Leg Extension.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,39
Price_List,2,16,M7Pro-2004,Leg Curl,"US$1,520",1483*1153*1630mm,293lbs/132.75kg,200kg,240kg,1.4,photos/Price_List_M7Pro-2004_p2.png,images/M7Pro-2004 - Leg Curl/01 - Leg Curl.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,40
Price_List,2,17,M7Pro-2005,Seated Leg Press,"US$1,793",1985*1190*1630mm,293lbs/132.75kg,295kg,335kg,1.9,photos/Price_List_M7Pro-2005_p2.png,images/M7Pro-2005 - Seated Leg Press/01 - Seated Leg Press.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,40
Price_List,2,18,M7Pro-2006,Rotary Torso Rotation,"US$1,404",1150*1116*1450mm,263lbs/119.25kg,164kg,204kg,1.4,photos/Price_List_M7Pro-2006_p2.png,images/M7Pro-2006 - Rotary Torso Rotation/01 - Rotary Torso Rotation.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,40
Price_List,2,19,M7Pro-2007,Standing Calf Raise,"US$1,420",1258*1103*1635mm,263lbs/119.25kg,147kg,187kg,1.2,photos/Price_List_M7Pro-2007_p2.png,images/M7Pro-2007 - Standing Calf Raise/01 - Standing Calf Raise.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,41
Price_List,3,20,M7Pro-2008,Glute Machine,"US$1,373",2070*1015*1630mm,263lbs/119.25kg,149kg,189kg,1.3,photos/Price_List_M7Pro-2008_p3.png,images/M7Pro-2008 - Glute Machine/01 - Glute Machine.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,41
Price_List,3,21,M7Pro-2009,Prone leg curl,"US$1,444",1500*1080*1630mm,263lbs/119.25kg,150kg,190kg,1.2,photos/Price_List_M7Pro-2009_p3.png,images/M7Pro-2009 - Prone leg curl/01 - Prone leg curl.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,41
Price_List,4,1,M3-1001,Chest Press,"US$1,060",1300*1476*1518mm,263lbs/119.25kg,182kg,222kg,1.5,photos/Price_List_M3-1001_p4.png,images/M3-1001 - Chest Press/01 - Chest Press.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,44
Price_List,4,2,M3-1002,Lateral Raise,"US$1,020",1171*1137*1518mm,174lbs/78.75kg,152kg,192kg,1.2,photos/Price_List_M3-1002_p4.png,images/M3-1002 - Lateral Raise/01 - Lateral Raise.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,44
